sample_id	Animal_ID	gender	time_collect	heart	Strain	Diet	Field	Dose
M1	W7-2	male	16 months	LV	C57Bl/6J	Normal	Mix	0.5
M2	W8-1	male	16 months	LV	C57Bl/6J	Normal	Mix	0.5
M3	W8-2	male	16 months	LV	C57Bl/6J	Normal	Mix	0.5
M4	W10-1	male	16 months	LV	C57Bl/6J	Normal	Mix	0.5
M5	W10-2	male	16 months	LV	C57Bl/6J	Normal	Mix	0.5
M6	W43-1	male	16 months	LV	C57Bl/6J	Normal	Sham	0
M7	W43-2	male	16 months	LV	C57Bl/6J	Normal	Sham	0
M8	W43-3	male	16 months	LV	C57Bl/6J	Normal	Sham	0
M9	W45-1	male	16 months	LV	C57Bl/6J	Normal	Sham	0
M10	W45-2	male	16 months	LV	C57Bl/6J	Normal	Sham	0
M11	W55-1	male	16 months	LV	C57Bl/6J	Western	Sham	0
M12	W53-1	male	16 months	LV	C57Bl/6J	Western	Sham	0
M13	W53-2	male	16 months	LV	C57Bl/6J	Western	Sham	0
M14	W53-3	male	16 months	LV	C57Bl/6J	Western	Sham	0
M15	W53-4	male	16 months	LV	C57Bl/6J	Western	Sham	0
M16	WG7-1	male	16 months	LV	C57Bl/6J	Normal	Gamma	1
M17	WG11-1	male	16 months	LV	C57Bl/6J	Normal	Gamma	1
M18	WG11-2	male	16 months	LV	C57Bl/6J	Normal	Gamma	1
M19	WG11-3	male	16 months	LV	C57Bl/6J	Normal	Gamma	1
M20	WG12-1	male	16 months	LV	C57Bl/6J	Normal	Gamma	1
M21	W16-2	male	22 months	LV	C57Bl/6J	Normal	Mix	0.5
M22	W16-3	male	22 months	LV	C57Bl/6J	Normal	Mix	0.5
M23	W16-4	male	22 months	LV	C57Bl/6J	Normal	Mix	0.5
M24	W16-5	male	22 months	LV	C57Bl/6J	Normal	Mix	0.5
M25	W17-1	male	22 months	LV	C57Bl/6J	Normal	Mix	0.5
M26	W42-1	male	22 months	LV	C57Bl/6J	Normal	Sham	0
M27	W42-2	male	22 months	LV	C57Bl/6J	Normal	Sham	0
M28	W42-3	male	22 months	LV	C57Bl/6J	Normal	Sham	0
M29	WG45-1	male	22 months	LV	C57Bl/6J	Normal	Sham	0
M30	W44-1	male	22 months	LV	C57Bl/6J	Normal	Sham	0
M31	WG53-1	male	22 months	LV	C57Bl/6J	Western	Sham	0
M32	WG53-2	male	22 months	LV	C57Bl/6J	Western	Sham	0
M33	WG55-1	male	22 months	LV	C57Bl/6J	Western	Sham	0
M34	WG55-2	male	22 months	LV	C57Bl/6J	Western	Sham	0
M35	WG57-1	male	22 months	LV	C57Bl/6J	Western	Sham	0
M36	WG4-1	male	22 months	LV	C57Bl/6J	Normal	Gamma	1
M37	WG4-2	male	22 months	LV	C57Bl/6J	Normal	Gamma	1
M38	WG6-1	male	22 months	LV	C57Bl/6J	Normal	Gamma	1
M39	WG6-2	male	22 months	LV	C57Bl/6J	Normal	Gamma	1
