"sample_id"	"Animal_ID"	"gender"	"time_collect"	"heart"	"Strain"	"Diet"	"Field"	"Dose"	"group"	"RIN"	"QPCR_mol"	"concentration"	"group_new"
"F1"	"F1"	"W7-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	6.1	6.77	14.15	"simGCRsim female 440d"
"F16"	"F16"	"WG7-1F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	6.2	5.67	19.64	"Gamma female 440d"
"F17"	"F17"	"WG7-2F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	8.4	6.68	27.3	"Gamma female 440d"
"F18"	"F18"	"WG7-3F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	8.6	7	20.93	"Gamma female 440d"
"F19"	"F19"	"WG7-4F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Gamma"	1	"Gamma_female_young"	6.5	7.05	22.9	"Gamma female 440d"
"F2"	"F2"	"W7-3F"	"female"	"young"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_young"	8.4	7.58	32.26	"simGCRsim female 440d"
"F21"	"F21"	"W23-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	6.5	6.53	22.52	"simGCRsim female 550d"
"F22"	"F22"	"W23-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	7.8	5.93	29.78	"simGCRsim female 550d"
"F23"	"F23"	"W21-1F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	6.5	6.5	22.55	"simGCRsim female 550d"
"F24"	"F24"	"W21-2F"	"female"	"old"	"RV"	"C57B1/6J"	"Normal"	"Mix"	0.5	"Mix_female_old"	7.7	5.41	29.28	"simGCRsim female 550d"
